Username,Comment
@jeevangadigatla960,Most underrated song ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤this song taking me magical world in my inter days 😢😢😢
@harikasri5496,Why they don't make songs like this anymore.......
@RamakrishnaPadmasal,Collage days lo ee song na cruah ni uhinchukuntu oedtunti alwhat a beutyfull days nissing a lot 😢
@pratheeshkumar1305,2025 jan 13 still
@prabhahaashini9166,My favvv❤❤❤❤
@priyanka2400,2025❤
@puljalabalumaharaj6975,"జన్మ అంటే ఇదేనేమో అనిపించింది నాకు మై బెస్ట్ సాంగ్......,.... 🎉❤❤❤❤❤😅😊❤"
@rajmanohar9275,202🖐️❤
@aishuvibes,Still in dec 2024
@shravya-jy2zf,"stuck here, listening to this on loop"
@shravya-jy2zf,"I am someone who still goes back and listens to old songs, reminds me of those good days...these songs really hold good memories"
@shravya-jy2zf,suddenly remembered this movie songs and came here to listen <3
@Riskyshooter28,2024 like
@ushashree5116,❤
@sudhakarstores7364,"All time one of my fav movie , song and RP😊 pleasentness are at peaks 💯☺️"
@PRAGATHISRIJAKETAVATHU,Still in 2024❤
@RameshMaloath-kn8jm,Nice9
@RC_CREATIONS5689,Any 2035 one's?
@supriyaaaa,🤍
